year,month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,target
2010,1,2,0,-16,-4.0,1020.0,2,1.79,high
2010,1,2,1,-15,-4.0,1020.0,2,2.68,high
2010,1,2,2,-11,-5.0,1021.0,2,3.57,high
2010,1,2,3,-7,-5.0,1022.0,2,5.36,high
2010,1,2,4,-7,-5.0,1022.0,2,6.25,high
2010,1,2,5,-7,-6.0,1022.0,2,7.14,high
2010,1,2,6,-7,-6.0,1023.0,2,8.93,high
2010,1,2,7,-7,-5.0,1024.0,2,10.72,high
2010,1,2,8,-8,-6.0,1024.0,2,12.51,high
2010,1,2,9,-7,-5.0,1025.0,2,14.3,high
2010,1,2,10,-7,-5.0,1026.0,2,17.43,high
2010,1,2,11,-8,-5.0,1026.0,2,20.56,high
2010,1,2,12,-8,-5.0,1026.0,2,23.69,high
2010,1,2,13,-8,-5.0,1025.0,2,27.71,high
2010,1,2,14,-9,-5.0,1025.0,2,31.73,high
2010,1,2,15,-9,-5.0,1025.0,2,35.75,high
2010,1,2,16,-9,-5.0,1026.0,2,37.54,high
2010,1,2,17,-8,-5.0,1027.0,2,39.33,high
2010,1,2,18,-8,-5.0,1027.0,2,42.46,high
2010,1,2,19,-8,-5.0,1028.0,2,44.25,high
2010,1,2,20,-7,-5.0,1028.0,2,46.04,high
2010,1,2,21,-7,-5.0,1027.0,2,49.17,high
2010,1,2,22,-8,-6.0,1028.0,2,52.3,high
2010,1,2,23,-8,-6.0,1027.0,2,55.43,high
2010,1,3,0,-7,-6.0,1027.0,2,58.56,low
2010,1,3,1,-8,-6.0,1026.0,2,61.69,low
2010,1,3,2,-8,-7.0,1026.0,2,65.71,low
2010,1,3,3,-8,-7.0,1025.0,2,68.84,low
2010,1,3,4,-8,-7.0,1024.0,2,72.86,low
2010,1,3,5,-9,-8.0,1024.0,2,76.88,low
2010,1,3,6,-10,-8.0,1024.0,2,80.9,low
2010,1,3,7,-10,-9.0,1024.0,2,84.92,low
2010,1,3,8,-10,-9.0,1024.0,2,89.84,low
2010,1,3,9,-11,-9.0,1023.0,2,93.86,low
2010,1,3,10,-11,-9.0,1023.0,2,97.88,low
2010,1,3,11,-11,-9.0,1022.0,2,102.8,low
2010,1,3,12,-11,-9.0,1021.0,2,105.93,high
2010,1,3,13,-11,-9.0,1020.0,2,111.74,low
2010,1,3,14,-11,-9.0,1020.0,2,116.66,low
2010,1,3,15,-11,-9.0,1020.0,2,121.58,low
2010,1,3,16,-11,-9.0,1020.0,2,124.71,low
2010,1,3,17,-11,-9.0,1020.0,2,127.84,low
2010,1,3,18,-11,-9.0,1021.0,3,0.89,low
2010,1,3,19,-11,-9.0,1022.0,3,1.78,low
2010,1,3,20,-10,-9.0,1022.0,1,4.02,low
2010,1,3,21,-11,-10.0,1023.0,1,7.15,low
2010,1,3,22,-11,-9.0,1023.0,1,11.17,low
2010,1,3,23,-12,-11.0,1023.0,1,14.3,low
2010,1,4,0,-14,-12.0,1023.0,1,16.09,low
2010,1,4,1,-16,-9.0,1023.0,1,21.9,low
2010,1,4,2,-17,-10.0,1024.0,1,29.95,low
2010,1,4,3,-18,-11.0,1024.0,1,39.78,low
2010,1,4,4,-19,-11.0,1025.0,1,48.72,low
2010,1,4,5,-20,-12.0,1026.0,1,55.87,low
2010,1,4,6,-21,-12.0,1027.0,1,64.81,low
2010,1,4,7,-21,-13.0,1027.0,1,73.75,low
2010,1,4,8,-22,-13.0,1028.0,1,80.9,low
2010,1,4,9,-22,-13.0,1029.0,1,90.73,low
2010,1,4,10,-22,-12.0,1030.0,1,100.56,low
2010,1,4,11,-23,-12.0,1031.0,1,108.61,low
2010,1,4,12,-21,-11.0,1030.0,1,117.55,low
2010,1,4,13,-20,-10.0,1030.0,1,127.38,low
2010,1,4,14,-21,-10.0,1030.0,1,136.32,low
2010,1,4,15,-21,-9.0,1030.0,1,145.26,low
2010,1,4,16,-21,-9.0,1031.0,1,152.41,low
2010,1,4,17,-20,-11.0,1032.0,1,159.56,low
2010,1,4,18,-23,-11.0,1032.0,1,165.37,low
2010,1,4,19,-21,-12.0,1033.0,1,171.18,low
2010,1,4,20,-24,-12.0,1034.0,1,180.12,low
